Name,Address,Cuisine Tags,Rating,Features,Price Range,Detail URL,Reservation Link,Source URL,Opening Hours,Popular Dishes,Detailed Address
Laser Wolf,Williamsburg - North Side,"Middle Eastern, Desserts, Cocktail Bars",4.4,,$31-60,https://www.yelp.com/biz/laser-wolf-brooklyn-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=190,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=190,"Mon: 5:00 PM - 11:00 PM, Tue: 5:00 PM - 11:00 PM, Wed: 5:00 PM - 11:00 PM, Thu: 5:00 PM - 1:00 AM (Next day), Fri: 5:00 PM - 1:00 AM (Next day), Sat: 5:00 PM - 1:00 AM (Next day), Sun: 5:00 PM - 11:00 PM","Brown Sugar Soft Serve - Sesame, Cherry, Crunchies, Lamb Beef Koobideh, Chicken Shishlik, Steak Shishlik, Foie Gras W/grilled Pita Pickled Green Strawberries, Lamb Kofta, Date-harissa Wings W/ Tehina Ranch, Shawarma-spiced Cauliflower, Brisket Kebab, Whole Branzino W/ginger & Tomato","97 Wyth Ave, Brooklyn, NY 11249"
Pommes Frites,Greenwich Village,"Belgian, Specialty Food, Poutineries",4.4,"allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/pommes-frites-new-york-2?osq=Restaurants,https://www.yelp.com/biz/uBGjcW-GuYy_qSvMykuISA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=190,"Mon: 11:00 AM - 1:00 AM (Next day), Tue: 11:00 AM - 1:00 AM (Next day), Wed: 11:00 AM - 1:00 AM (Next day), Thu: 11:00 AM - 1:00 AM (Next day), Fri: 11:00 AM - 3:00 AM (Next day), Sat: 11:00 AM - 3:00 AM (Next day), Sun: 11:00 AM - 1:00 AM (Next day)","Sweet Mango Chutney, Rosemary Garlic, Parmesan Peppercorn, Black Truffle, Pomegranate Teriyaki, Smoked Eggplant, Tequila Lime Chipotle, Wild Mushroom, Peanut Satay, Irish Curry, Sundried Tomato, Eggplant Mayo","128 Macdougal St, New York, NY 10012"
ONGI,Midtown East,Korean,4.5,"allow Delivery, allow Takeout",,https://www.yelp.com/biz/ongi-new-york?osq=Restaurants,https://www.yelp.com/biz/fSfECAGJr6h6cbJ22mmv1g?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=190,"Mon: 11:00 AM - 9:00 PM, Tue: 11:00 AM - 9:00 PM, Wed: 11:00 AM - 9:00 PM, Thu: 11:00 AM - 9:00 PM, Fri: 11:00 AM - 9:00 PM, Sat: 11:00 AM - 9:00 PM, Sun: 11:00 AM - 9:00 PM","BBQ Pork Kimchi, Korean BBQ Salmon, Custom Bowl, Savory Bulgogi Beef, Shrimp Bun","630 3rd Ave, New York, NY 10017"
La Sirene,South Village,French,4.3,"allow Outdoor seating, allow Delivery, allow Takeout",$31-60,https://www.yelp.com/biz/la-sirene-new-york-4?osq=Restaurants,https://www.yelp.com/biz/FiRB9Ek3Xo9JHwXgBYITYg?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=190,"Mon: 4:00 PM - 10:30 PM, Tue: 4:00 PM - 10:30 PM, Wed: 4:00 PM - 10:30 PM, Thu: 4:00 PM - 10:30 PM, Fri: 4:00 PM - 11:00 PM, Sat: 4:00 PM - 11:00 PM, Sun: 4:00 PM - 10:30 PM","Foie Gras, Filet Mignon, French Onion Soup, Hanger Steak, Duck Breast, Tournedos Rossini, Pork Tenderloin, Buttered Hangar Steak, Chocolate Lava Cake, Rack of Lamb, Duck Confit, Beet Salad, Curry Mussels, Escargots a La Bourguignone, Kassulet Toulousain De La Maison, Carrot Puree B C, Steak Tartare, Cornish Hen, Steamed Mussels, Magret De Canard","558 Broome St, New York, NY 10013"
Chi Restaurant & Bar,Midtown West,"Bars, Szechuan",4.3,"not allow Outdoor seating, allow Delivery, allow Takeout",,https://www.yelp.com/biz/chi-restaurant-and-bar-new-york?osq=Restaurants,https://www.yelp.com/reservations/chi-restaurant-and-bar-new-york,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=190,"Mon: 11:30 AM - 10:00 PM, Tue: 11:30 AM - 10:00 PM, Wed: 11:30 AM - 10:00 PM, Thu: 11:30 AM - 10:00 PM, Fri: 11:30 AM - 10:00 PM, Sat: 11:30 AM - 10:00 PM, Sun: 11:30 AM - 10:00 PM",,"492 9th Ave, New York, NY 10018"
Sukhumvit 51,Midtown East,Thai,4.0,"allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/sukhumvit-51-new-york?osq=Restaurants,https://www.yelp.com/biz/KHdYPT0jUnUGdHGaY73mxg?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=200,,,", Not Found"
Pure Thai Cookhouse,Theater District,"Thai, Noodles",4.2,"allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/pure-thai-cookhouse-new-york?osq=Restaurants,https://www.yelp.com/biz/MhceeLrM2_3mcKw5EGLY6A?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=200,"Mon: 12:00 PM - 10:00 PM, Tue: 12:00 PM - 10:00 PM, Wed: 12:00 PM - 10:00 PM, Thu: 12:00 PM - 10:00 PM, Fri: 12:00 PM - 11:00 PM, Sat: 12:00 PM - 11:00 PM, Sun: Closed","Signature Dry Noodle, Pad Thai, Pork Dry Noodles, Pad See Ew, Ratchaburi Crab, Crab and Pork Noodles, Papaya Salad, Chicken Curry, Pad Kee Mao, Duck Noodle Soup, Steamed Vegetable Dumplings, Spring Rolls, Jungle Curry Fried Rice, Seafood Noodle Soup, Beef Noodle Soup, Sukhothai Pork Noodle Soup, Pho Rice Noodles, Chicken Satay, Baby Back Ribs, Roasted Back Rib","766 9th Ave, New York, NY 10019"
Lin & Daughters,West Village,"Chinese, Noodles, Bubble Tea",4.8,"not allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/lin-and-daughters-new-york?osq=Restaurants,https://www.yelp.com/biz/SYFLyQAFRFoDURRWafeLKA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=200,"Mon: Closed, Tue: 11:30 AM - 9:30 PM, Wed: 11:30 AM - 9:30 PM, Thu: 11:30 AM - 9:30 PM, Fri: 11:30 AM - 10:00 PM, Sat: 11:30 AM - 10:00 PM, Sun: 11:30 AM - 9:30 PM","Dan Dan Noodles, Pan Fried Curry Chicken Dumplings, ""Grandmas Peanut Noodles"", ""Sister Lins Chicken Noodle Soup"", ""Brother Lins Beef Noodle Soup"", ""Lins Pork & Chive Dumplings"", ""Moms Wonton Soup""","181 West 4th St, New York, NY 10014"
Silky Kitchen,Theater District,"Chinese, Salad, Noodles",4.4,"allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/silky-kitchen-new-york-5?osq=Restaurants,https://www.yelp.com/biz/8plXW6ZQI1awPu1scms3jQ?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=200,"Mon: 11:00 AM - 8:45 PM, Tue: 11:00 AM - 8:45 PM, Wed: 11:00 AM - 8:45 PM, Thu: 11:00 AM - 8:45 PM, Fri: 11:00 AM - 8:45 PM, Sat: 11:00 AM - 8:45 PM, Sun: 11:00 AM - 8:45 PM","S13 Hot & Sour Fish Soup Noodle, S14 Braised Pork Ribs, Stew Beef, A3 Pig Ears Salad, Hunan Style Sauteed Beef, Hot & Sour Chicken Gizzard, Stir Fried Chicken W. Chili Paste, A2 Sour &spicy Cucumber Salad","138 W 46th St, New York, NY 10036"
Izakaya NoMad,Flatiron,"Gastropubs, Izakaya, Bars",3.9,"allow Outdoor seating, not allow Delivery, not allow Takeout",$11-30,https://www.yelp.com/biz/izakaya-nomad-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=200,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=200,"Mon: 5:00 PM - 11:00 PM, Tue: 5:00 PM - 11:00 PM, Wed: 5:00 PM - 11:00 PM, Thu: 5:00 PM - 12:00 AM (Next day), Fri: 5:00 PM - 12:00 AM (Next day), Sat: 5:00 PM - 12:00 AM (Next day), Sun: Closed","Pork Belly, Chicken Meatballs, Grilled Squid, Beef Tongue, Teriyaki Ika, Hamachi Tataki, Beef Short Rib, Godzilla Roll, Chicken Thighs, Golden Roll, Spicy Tuna, King Oyster Mushroom, Seaweed Salad, Shishito, Spicy Salmon, Tako Wasabi, Popcorn Chicken Gizzard, Chicken Karaage, Salmon Onigiri, Chicken Wings","13 W 26th St, New York, NY 10010"
Sam Muk,Woodside,"Thai, Seafood",4.7,"not allow Outdoor seating, allow Delivery",,https://www.yelp.com/biz/sam-muk-woodside?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=200,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=200,"Mon: 12:00 PM - 4:00 PM 5:00 PM - 10:00 PM, Tue: 12:00 PM - 4:00 PM 5:00 PM - 10:00 PM, Wed: 12:00 PM - 4:00 PM 5:00 PM - 10:00 PM, Thu: 12:00 PM - 4:00 PM 5:00 PM - 10:00 PM, Fri: 12:00 PM - 4:00 PM 5:00 PM - 12:00 AM (Next day), Sat: 12:00 PM - 4:00 PM 5:00 PM - 12:00 AM (Next day), Sun: 12:00 PM - 4:00 PM 5:00 PM - 12:00 AM (Next day)","Oysters, Yen Ta Fo Noodle, Tom Yum Noodle Soup, Crab Rolls, Goy Nuar","65-25 Roosevelt Ave, Woodside, NY 11377"
