Opening Hours,Popular Dishes,Detailed Address
"['Mon: Closed', 'Tue: 12:00 AM - 10:00 PM', 'Wed: 12:00 PM - 10:00 PM', 'Thu: 12:00 PM - 10:00 PM', 'Fri: 12:00 PM - 10:00 PM', 'Sat: 12:00 PM - 10:00 PM', 'Sun: 12:00 PM - 10:00 PM']","['Grilled Lamb Chops', 'Spicy Mango Salad', 'Steamed Pork Dumplings', 'Slow Cooked Pork Shoulder', 'Crispy Chicken Over Rice', 'Green Curry', 'Shrimp Rolls', 'Drunken Noodles', 'Massaman Curry', 'Half Moon Turnover', 'Salmon Green Curry', 'Stir-fried Noodle', 'Veggie Spring Rolls', 'Thai Beef Stew', 'Shrimp And Chicken Toast', 'Thai-style Chicken Wings', 'Tiger Cry Steak', 'Pad Thai', 'Fried Tofu', 'Coconut Flan']","586 West 207 StNew York, NY 10034"
"['Mon: 9:00 AM - 12:00 AM (Next day)', 'Tue: 9:00 AM - 12:00 AM (Next day)', 'Wed: 9:00 AM - 12:00 AM (Next day)', 'Thu: 9:00 AM - 12:00 AM (Next day)', 'Fri: 9:00 AM - 12:00 AM (Next day)', 'Sat: 9:00 AM - 12:00 AM (Next day)', 'Sun: 9:00 AM - 12:00 AM (Next day)']","['1/2 Grilled Chicken', 'Greek Salad', 'Lamb Chops', 'Meat Arayes', 'Shawarma', 'Tabouleh']","1907 White Plains RdBronx, NY 10462"
"['Mon: 12:00 PM - 10:30 PM', 'Tue: 12:00 PM - 10:30 PM', 'Wed: 12:00 PM - 10:30 PM', 'Thu: 12:00 PM - 10:30 PM', 'Fri: 12:00 PM - 10:30 PM', 'Sat: 12:00 PM - 10:30 PM', 'Sun: 12:00 PM - 10:30 PM']","['Chicken Taco', 'Steak Taco', 'Al Pastor Taco', 'Spicy Pork Taco', 'Beef Tongue Taco', 'Shredded Beef Taco', 'Beef Head Taco']","2140 White Plains RdBronx, NY 10462"
"['Mon: Closed', 'Tue: 12:00 AM - 10:00 PM', 'Wed: 12:00 PM - 10:00 PM', 'Thu: 12:00 PM - 10:00 PM', 'Fri: 12:00 PM - 10:00 PM', 'Sat: 12:00 PM - 10:00 PM', 'Sun: 12:00 PM - 10:00 PM']","['Grilled Lamb Chops', 'Spicy Mango Salad', 'Steamed Pork Dumplings', 'Slow Cooked Pork Shoulder', 'Crispy Chicken Over Rice', 'Green Curry', 'Shrimp Rolls', 'Drunken Noodles', 'Massaman Curry', 'Half Moon Turnover', 'Salmon Green Curry', 'Stir-fried Noodle', 'Veggie Spring Rolls', 'Thai Beef Stew', 'Shrimp And Chicken Toast', 'Thai-style Chicken Wings', 'Tiger Cry Steak', 'Pad Thai', 'Fried Tofu', 'Coconut Flan']","586 West 207 StNew York, NY 10034"
"['Mon: 9:00 AM - 12:00 AM (Next day)', 'Tue: 9:00 AM - 12:00 AM (Next day)', 'Wed: 9:00 AM - 12:00 AM (Next day)', 'Thu: 9:00 AM - 12:00 AM (Next day)', 'Fri: 9:00 AM - 12:00 AM (Next day)', 'Sat: 9:00 AM - 12:00 AM (Next day)', 'Sun: 9:00 AM - 12:00 AM (Next day)']","['1/2 Grilled Chicken', 'Greek Salad', 'Lamb Chops', 'Meat Arayes', 'Shawarma', 'Tabouleh']","1907 White Plains RdBronx, NY 10462"
"['Mon: 4:00 PM - 1:00 AM (Next day)', 'Tue: 4:00 PM - 1:00 AM (Next day)', 'Wed: 4:00 PM - 1:00 AM (Next day)', 'Thu: 4:00 PM - 4:00 AM (Next day)', 'Fri: 4:00 PM - 4:00 AM (Next day)', 'Sat: 4:00 PM - 4:00 AM (Next day)', 'Sun: 1:00 PM - 2:00 AM (Next day)']",[],"2241 Washington AveThe Bronx, NY 10457"
"['Mon: 12:00 PM - 9:30 PM', 'Tue: Closed', 'Wed: 12:00 PM - 9:30 PM', 'Thu: 12:00 PM - 9:30 PM', 'Fri: 12:00 PM - 10:30 PM', 'Sat: 12:00 PM - 11:00 PM', 'Sun: 12:00 PM - 9:30 PM']","['Fried Calamari', 'Caesar Salad', 'Pork Osso Buco', 'Chicken Parmigiana', 'Eggplant Rollatini', 'Stuffed Artichoke', 'Tiramisu', 'Gnocchi Bolognese', 'Cavatelli', 'Black Forest', 'Insalate Tre Colore', 'Bomba', 'Spaghetti', 'Pork Braciola']","2331 Arthur AveBronx, NY 10458"
"['Mon: 4:00 PM - 12:00 AM (Next day)', 'Tue: 4:00 PM - 12:00 AM (Next day)', 'Wed: 4:00 PM - 12:00 AM (Next day)', 'Thu: 4:00 PM - 2:00 AM (Next day)', 'Fri: 4:00 PM - 2:00 AM (Next day)', 'Sat: 12:00 PM - 2:00 AM (Next day)', 'Sun: 12:00 PM - 12:00 AM (Next day)']","['Fondue Burger', 'Buffalo Cauliflower', 'Erik', 'Buffalo Wings', 'Bacon Bacon Bacon Burger', 'Instagram']","601 E 189th StBronx, NY 10458"
"['Mon: 10:00 AM - 12:00 AM (Next day)', 'Tue: 10:00 AM - 12:00 AM (Next day)', 'Wed: 10:00 AM - 12:00 AM (Next day)', 'Thu: 10:00 AM - 12:00 AM (Next day)', 'Fri: 10:00 AM - 2:00 AM (Next day)', 'Sat: 10:00 AM - 2:00 AM (Next day)', 'Sun: 10:00 AM - 12:00 AM (Next day)']","['Steak Tacos', 'Chorizo Tacos', 'Pepper Steak', 'Steak Quesadilla']","307 E 204th StBronx, NY 10467"
"['Mon: 11:00 AM - 12:00 AM (Next day)', 'Tue: 11:00 AM - 12:00 AM (Next day)', 'Wed: 11:00 AM - 12:00 AM (Next day)', 'Thu: 11:00 AM - 12:00 AM (Next day)', 'Fri: 11:00 AM - 12:00 AM (Next day)', 'Sat: 11:00 AM - 12:00 AM (Next day)', 'Sun: 11:00 AM - 12:00 AM (Next day)']","['Lamb Chops', 'Jerk Chicken', 'Surf and Turf', 'BBQ Chicken and Shrimp', 'Lobster Tail', 'Quesadilla']","671 Morris Park AveBronx, NY 10462"
"['Mon: 8:00 AM - 4:00 AM (Next day)', 'Tue: 8:00 AM - 4:00 AM (Next day)', 'Wed: 8:00 AM - 4:00 AM (Next day)', 'Thu: 8:00 AM - 4:00 AM (Next day)', 'Fri: 8:00 AM - 4:00 AM (Next day)', 'Sat: 8:00 AM - 4:00 AM (Next day)', 'Sun: 8:00 AM - 4:00 AM (Next day)']",[],"632 E 186th StBronx, NY 10458"
"['Mon: 11:30 AM - 9:00 PM', 'Tue: 11:30 AM - 10:00 PM', 'Wed: 11:30 AM - 10:00 PM', 'Thu: 11:30 AM - 10:00 PM', 'Fri: 11:30 AM - 11:00 PM', 'Sat: 11:30 AM - 11:00 PM', 'Sun: 11:30 AM - 9:00 PM']","['Calamari', 'Ravioli', 'Fried Calamari', 'Penne Vodka', 'Lasagna', 'Chicken Parmigiana', 'Zuppa Di Pesce', 'Seared Crab Cakes']","2507 Eastchester RdBronx, NY 10469"
"['Mon: 12:00 PM - 8:00 PM', 'Tue: Closed', 'Wed: Closed', 'Thu: 12:00 PM - 8:00 PM', 'Fri: 12:00 PM - 9:00 PM', 'Sat: 11:00 AM - 9:00 PM', 'Sun: 11:00 AM - 7:00 PM']","['Tacos De Mofongo', 'Churros', 'Puerto Rican 80% Dark', 'Grilled Chicken Sandwich', 'Avocado Toast', 'Smoked Pork Sandwich', 'French Toast', 'Huge Breakfast']","141 Alexander AveSouth Bronx, NY 10454"
"['Mon: 11:00 AM - 11:00 PM', 'Tue: 11:00 AM - 11:00 PM', 'Wed: 11:00 AM - 11:00 PM', 'Thu: 11:00 AM - 11:00 PM', 'Fri: 11:00 AM - 11:00 PM', 'Sat: 11:00 AM - 11:00 PM', 'Sun: 11:00 AM - 11:00 PM']","['New England Clam Chowder', 'Barbecued Baby Back Ribs & Whole Lobster', ""Joe V's Deep Divers Feast"", 'Fried Calamari', 'A Banquet For Crab Lovers', 'Chilled Seafood Combo Platter', 'Oyster Rockefeller', 'Italian Feast']","361 City Island AveBronx, NY 10464"
"['Mon: Closed', 'Tue: 12:00 PM - 9:00 PM', 'Wed: 12:00 PM - 9:00 PM', 'Thu: 12:00 PM - 9:00 PM', 'Fri: 12:00 PM - 10:00 PM', 'Sat: 12:00 PM - 10:00 PM', 'Sun: 12:00 PM - 9:00 PM']",[],"1604 Williamsbridge RdThe Bronx, NY 10461"
