Name,Address,Cuisine Tags,Rating,Features,Price Range,Detail URL,Reservation Link,Source URL
Feroza’s,Pelham Gardens,Trinidadian,4.1,,$,https://www.yelp.com/biz/ferozas-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=40,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=40
The Bridge Wood Fired Pizza & Restaurant,Morris Park,"Pizza, Pasta Shops",4.1,"√ Outdoor seating, √ Delivery, √ Takeout",,https://www.yelp.com/biz/the-bridge-wood-fired-pizza-and-restaurant-the-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=40,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=40
Ez Grill NYC,Pelham Gardens,"Mediterranean, Greek, Burgers",4.1,"√ Delivery, √ Takeout",$,https://www.yelp.com/biz/ez-grill-nyc-bronx?osq=Restaurants,https://www.yelp.com/biz/ju0UobdUZQWfyxWJEnoviQ?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=40
Anthony’s Famous Gourmet Deli,Norwood,"Delis, Sandwiches",4.0,"√ Delivery, √ Takeout",$,https://www.yelp.com/biz/anthonys-famous-gourmet-deli-bronx?osq=Restaurants,https://www.yelp.com/biz/VtAo_tC7kkHnpzlEV_Larg?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=40
The Way Cafe,Unionport,"Coffee & Tea, Cafes",4.8,"√ Outdoor seating, √ Delivery, √ Takeout",,https://www.yelp.com/biz/the-way-cafe-bronx?osq=Restaurants,https://www.yelp.com/biz/_FQrbmMZ97NmhGcoN_f4YA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=40
Jalao,Washington Heights,Dominican,3.8,"√ Delivery, √ Takeout",,https://www.yelp.com/biz/jalao-new-york-2?osq=Restaurants,https://www.yelp.com/biz/bkgSjW6GDoxlzSac2pEENg?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=40
Bloom Botanical Bistro,Forest Hills,"American (New), Cocktail Bars, Vegetarian",4.2,"√ Outdoor seating, √ Delivery, √ Takeout",,https://www.yelp.com/biz/bloom-botanical-bistro-queens?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=50,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=50
The Japanese Pop-Up Restaurant,,Japanese,5.0,"× Delivery, × Takeout",,https://www.yelp.com/biz/the-japanese-pop-up-restaurant-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=50,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=50
The 6,Unionport,Caribbean,3.8,"√ Delivery, √ Takeout",,https://www.yelp.com/biz/the-6-the-bronx?osq=Restaurants,https://www.yelp.com/biz/erXB6sxt5VpfaQeGW0m8HA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=50
Mắm,Lower East Side,Vietnamese,4.4,√ Outdoor seating,,https://www.yelp.com/biz/m%E1%BA%AFm-new-york-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=50,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=50
Caribbean Sunshine Restaurant,West Farms,Caribbean,4.2,√ Takeout,$,https://www.yelp.com/biz/caribbean-sunshine-restaurant-bronx?osq=Restaurants,https://www.yelp.com/biz/L8N2aoUqdIhgtd2JbJc3LA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=50
The Bronx Burger House,,Burgers,3.9,√ Takeout,$$,https://www.yelp.com/biz/the-bronx-burger-house-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=50,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=50
