Name,Address,Cuisine Tags,Rating,Features,Price Range,Detail URL,Reservation Link,Source URL
While In Kathmandu,Ridgewood,"Cafes, Bars, Himalayan/Nepalese",4.5,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/while-in-kathmandu-ridgewood?osq=Restaurants,https://www.yelp.com/biz/Scs2L-4imyt_lorJ6biFKA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=40
Lo Lan,Downtown Flushing,Hong Kong Style Cafe,4.0,,,https://www.yelp.com/biz/lo-lan-queens-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=50,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=50
Mister Seoul,Bayside,"Korean, Barbeque",4.3,"√ Outdoor seating, √ Delivery, √ Takeout",,https://www.yelp.com/biz/mister-seoul-bayside?osq=Restaurants,https://www.yelp.com/reservations/mister-seoul-bayside,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=50
The Lazy Cow,Bayside,"Gastropubs, American (New), Cocktail Bars",3.9,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/the-lazy-cow-bayside?osq=Restaurants,https://www.yelp.com/biz/pv2Ayw8QN2nkMpCS-3RwiA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=50
When In Bangkok,Murray Hill,"Thai, Cocktail Bars, Seafood",4.4,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/when-in-bangkok-flushing?osq=Restaurants,https://www.yelp.com/biz/XlCaR9Q3fW37uhWuCx92mQ?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=50
Chez Olivia,Astoria,"French, Modern European, Sandwiches",4.7,"√ Outdoor seating, √ Delivery, √ Takeout",,https://www.yelp.com/biz/chez-olivia-astoria?osq=Restaurants,https://www.yelp.com/biz/ar2xOWS0wl5yB60GH1uI5w?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=50
Khao Nom,Elmhurst,"Desserts, Thai",4.4,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/khao-nom-elmhurst?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=50,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=50
Burger Spot,Forest Hills,"Burgers, Kosher, Comfort Food",4.3,√ Delivery,,https://www.yelp.com/biz/burger-spot-new-york?osq=Restaurants,https://www.yelp.com/biz/UBJURdoN6vdgeWaiyDZsbg?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=50
Zum Stammtisch,Glendale,German,4.2,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/zum-stammtisch-glendale?osq=Restaurants,https://www.yelp.com/biz/19o6iblcJvz2hdPouYhXgg?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=50
Kong Sihk Tong,Downtown Flushing,Hong Kong Style Cafe,4.1,"× Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/kong-sihk-tong-queens?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=50,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=50
Gula Southern Comfort Bistro,Forest Hills,Comfort Food,3.7,√ Outdoor seating,$$,https://www.yelp.com/biz/gula-southern-comfort-bistro-forest-hills?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=50,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=50
Zum Stammtisch,Glendale,German,4.2,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/zum-stammtisch-glendale?osq=Restaurants,https://www.yelp.com/biz/19o6iblcJvz2hdPouYhXgg?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=60
