Name,Address,Cuisine Tags,Rating,Features,Price Range,Detail URL,Reservation Link,Source URL,Opening Hours,Popular Dishes,Detailed Address
Mekong BK,Fort Greene,Vietnamese,3.8,"allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/mekong-bk-brooklyn?osq=Restaurants,https://www.yelp.com/biz/vb-8neuGi8GPDTTnT2WO7g?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=150,"Mon: Closed, Tue: 1:00 PM - 9:30 PM, Wed: 1:00 PM - 9:30 PM, Thu: 1:00 PM - 9:30 PM, Fri: 1:00 PM - 9:30 PM, Sat: 12:30 PM - 9:30 PM, Sun: 12:30 PM - 9:30 PM","Grilled Slices of Berkshire Pork Chop, Chicken Salad, Fresh Summer Rolls, Iron Pot Lemongrass Curry with Tofu, Crispy Spicy Organic Chicken Wings, Crispy Spring Rolls, Shrimp Papaya Salad, Classic Vietnamese Beef Bones Broth Pho, Crispy Seitan & Water Spinach, Grilled Marinated Pork Ribs, Crispy Spring Rolls Vermicelli, Crispy Vegetarian Roll Vermicelli, Iron Pot Chicken Lemongrass Curry","250 Dekalb Ave, Brooklyn, NY 11205"
Edie Jo’s,Prospect Lefferts Gardens,"Cocktail Bars, American (New), Breakfast & Brunch",3.7,"allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/edie-jos-brooklyn?osq=Restaurants,https://www.yelp.com/biz/srqlsWg0od6soGI2Zf8mXA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=150,"Mon: Closed, Tue: 11:00 AM - 1:00 AM (Next day), Wed: 11:00 AM - 1:00 AM (Next day), Thu: 11:00 AM - 1:00 AM (Next day), Fri: 11:00 AM - 2:00 AM (Next day), Sat: 10:00 AM - 2:00 AM (Next day), Sun: 10:00 AM - 1:00 AM (Next day)","Avocado Toast, French Toast with Berries, Fried Chicken Sandwich","630 Flatbush Ave, Brooklyn, NY 11225"
Bar Crudo,Park Slope,"Seafood, Cocktail Bars, Breakfast & Brunch",4.4,"allow Outdoor seating, allow Delivery, allow Takeout",$31-60,https://www.yelp.com/biz/bar-crudo-brooklyn-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=150,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=150,"Mon: 4:00 PM - 10:00 PM, Tue: 4:00 PM - 10:00 PM, Wed: 4:00 PM - 10:00 PM, Thu: 4:00 PM - 10:00 PM, Fri: 12:00 PM - 1:00 AM (Next day), Sat: 11:00 AM - 1:00 AM (Next day), Sun: 11:00 AM - 10:00 PM",,"412 Fifth Ave, Brooklyn, NY 11215"
Werkstatt,Flatbush,"Austrian, Cocktail Bars",4.5,"allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/werkstatt-brooklyn-2?osq=Restaurants,https://www.yelp.com/biz/FXBrt0VpeBRengdd4fBOZw?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=150,"Mon: 4:00 PM - 9:30 PM, Tue: 4:00 PM - 9:30 PM, Wed: 4:00 PM - 9:30 PM, Thu: 4:00 PM - 9:30 PM, Fri: 4:00 PM - 10:00 PM, Sat: 12:00 PM - 10:00 PM, Sun: 12:00 PM - 9:00 PM","Chicken Schnitzel, Matzoh Ball Soup, Green Eggs and Ham, Wiener Schnitzel, Apple Strudel, Paprika Chicken, Cucumber Salad, Giant Pretzel, Creamed Spinach, Cod Schnitzel, Pan Fried Brussels, Calamari, Beef Goulash, Potato Latkes, Arugula Salad, Leek Risotto, Linzer Torte, Liver Pate, Liptauer, Chicken Liver Terrine","509 Coney Island Ave, Brooklyn, NY 11218"
The Nuaa Table,Prospect Heights,Thai,4.5,"allow Outdoor seating, allow Delivery, allow Takeout",,https://www.yelp.com/biz/the-nuaa-table-brooklyn?osq=Restaurants,https://www.yelp.com/biz/jiQMBtFQ0nY1hv3vRPM66w?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=150,"Mon: 5:00 PM - 10:00 PM, Tue: 5:00 PM - 10:00 PM, Wed: 5:00 PM - 10:00 PM, Thu: 5:00 PM - 10:00 PM, Fri: 5:00 PM - 10:00 PM, Sat: 12:00 PM - 10:00 PM, Sun: 12:00 PM - 10:00 PM","Colossal Crab Curry Noodle, Slow Braised Short Ribs Massaman Curry, Jasmin Tea-smoked BBQ Baby Back Ribs, Fresh Banana Blossom Salad, Shrimp Pad Thai, Sauteed Spicy Holy Basil, Miang of Toasted Coconut and Pink Grapefruit Salad, Chicken Green Curry, Crispy Purple Eggplant, Pan Seared Vegetable Dumpling, Fried Cheese Wonton, Shrimp Spicy Basil Noodle, Roasted Duck Buns, Chicken Sea Salt Fried Rice, Spicy and Sour Lemongrass Soup, Coconut Galangal Soup, Crispy Organic Silken Tofu, Northeast Green Papaya Salad, Chicken Kuay Teow Kua, Lemongrass and Herb Roasted Cornish Hen","638 Bergen St, Brooklyn, NY 11238"
Rolo’s,Ridgewood,"Sandwiches, American (New), Cocktail Bars",4.4,"allow Outdoor seating, allow Delivery, allow Takeout",,https://www.yelp.com/biz/rolos-ridgewood?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=150,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=150,"Mon: 9:00 AM - 3:30 PM 5:00 PM - 10:00 PM, Tue: 9:00 AM - 3:30 PM 5:00 PM - 10:00 PM, Wed: 9:00 AM - 3:30 PM 5:00 PM - 10:00 PM, Thu: 9:00 AM - 3:30 PM 5:00 PM - 10:00 PM, Fri: 9:00 AM - 3:30 PM 5:00 PM - 11:00 PM, Sat: 11:00 AM - 11:00 PM, Sun: 11:00 AM - 10:00 PM","Calabrian Chili, Cheesy Potato Croquettes, Double Cheeseburger, Ricotta Cavatelli, Wagyu Skirt Steak, Sheet Lasagna, Golden Beets, Meatball Parm, Sticky Bun, Tomato Pie, Fried Chicken Sandwich, Homemade Honey Pistachio, Grilled Porchetta Sandwich, Rigatoni, Wood Fired Polenta, Chili Polenta, Sesame & Wild Oregano Polenta, Hamachi Crudo, Lasagna Verde, Pickled Carrots","853 Onderdonk AveR, idgewood, NY 11385"
PLG Coffee House and Tavern,Prospect Lefferts Gardens,"Coffee & Tea, Breakfast & Brunch, Sandwiches",4.0,"allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/plg-coffee-house-and-tavern-brooklyn?osq=Restaurants,https://www.yelp.com/biz/4DVvKcNIdXxOLbdOm2sRmQ?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=150,"Mon: 7:00 AM - 5:00 PM, Tue: 7:00 AM - 5:00 PM, Wed: 7:00 AM - 5:00 PM, Thu: 7:00 AM - 5:00 PM, Fri: 7:00 AM - 5:00 PM, Sat: 8:00 AM - 5:00 PM, Sun: 9:00 AM - 5:00 PM","Avocado Toast, Turkey Avocado, Tuna Melt, Smoked Salmon, Egg & Cheese Bagel","499 Rogers Ave, Brooklyn, NY 11225"
Patti Ann’s,Prospect Heights,"American (New), Desserts, Cocktail Bars",3.8,,,https://www.yelp.com/biz/patti-anns-brooklyn?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=160,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=160,"Mon: 8:00 AM - 2:00 PM 5:00 PM - 10:00 PM, Tue: 8:00 AM - 2:00 PM 5:00 PM - 10:00 PM, Wed: 8:00 AM - 2:00 PM 5:00 PM - 10:00 PM, Thu: 8:00 AM - 2:00 PM 5:00 PM - 10:00 PM, Fri: 8:00 AM - 3:00 PM 5:00 PM - 10:00 PM, Sat: 8:00 AM - 3:00 PM 5:00 PM - 10:00 PM, Sun: 8:00 AM - 3:00 PM 5:00 PM - 10:00 PM","Blooming Onion, Pig in a Blanket, Fried Chicken, Caesar Salad, Bread Basket, Mostaccioli, Fried Pork Chop, Maple Cruller, Report Card, Everything Cruller, Honey Carrots, Banana Split, The Kitchen Sink, Royale Roasted Chicken, Duck Meatloaf, Short Rib Pot Roast, Cherry Tomato Caesar, Grain Bowl, Greek Salad, Pea Shoots","570 Vanderbilt Ave, Brooklyn, NY 11238"
99 Rogers,Crown Heights,"American (Traditional), Breakfast & Brunch, Sports Bars",3.9,"allow Outdoor seating, not allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/99-rogers-crown-heights?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=160,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=160,"Mon: 1:00 PM - 12:00 AM (Next day), Tue: 1:00 PM - 12:00 AM (Next day), Wed: 1:00 PM - 12:00 AM (Next day), Thu: 1:00 PM - 12:00 AM (Next day), Fri: 1:00 PM - 1:00 AM (Next day), Sat: 12:00 PM - 1:00 AM (Next day), Sun: 12:00 PM - 12:00 AM (Next day)","Lobster Roll, Cobb Salad, Fish Sandwich, Pulled Pork Sandwich, Lobster & Beef Burger, Slider, Chicken Tacos, Rogers Salad","99 Rogers AveCrown,  Heights, NY 11216"
Kyuramen - Park Slope,Park Slope,Ramen,4.3,"allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/kyuramen-park-slope-brooklyn?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=160,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=160,"Mon: 11:00 AM - 11:00 PM, Tue: 11:00 AM - 11:00 PM, Wed: 11:00 AM - 11:00 PM, Thu: 11:00 AM - 11:00 PM, Fri: 11:00 AM - 11:00 PM, Sat: 11:00 AM - 11:00 PM, Sun: 11:00 AM - 11:00 PM",,"155 5th Ave, Brooklyn, NY 11217"
Time Out Market New York,DUMBO,Food Court,3.9,"allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/time-out-market-new-york-brooklyn?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=160,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=160,"Mon: 8:00 AM - 10:00 PM, Tue: 8:00 AM - 10:00 PM, Wed: 8:00 AM - 10:00 PM, Thu: 8:00 AM - 10:00 PM, Fri: 8:00 AM - 11:00 PM, Sat: 8:00 AM - 11:00 PM, Sun: 8:00 AM - 10:00 PM","Clinton Street, Chote Miya, Wayla, Felice Pasta, Honey Chicken Biscuit Sandwich, Mr Taka Ramen, Brioche French Toast, Pad Thai, Sugar Hill, Nashville Hot Chicken, Chicken Karaage, Fried Chicken Sandwich, Mexology, Tonkatsu Ramen, Steak Sandwich, Steak Tacos, Loco Coco, Avocaderia","55 Water St, Brooklyn, NY 11201"
Casa Ora,East Williamsburg,"Venezuelan, Cocktail Bars, Venues & Event Spaces",4.4,"allow Outdoor seating, allow Delivery, allow Takeout",$31-60,https://www.yelp.com/biz/casa-ora-brooklyn?osq=Restaurants,https://www.yelp.com/biz/4XT1vFeDOa9nWYFh36E8fQ?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=160,"Mon: 5:30 PM - 11:00 PM, Tue: 5:30 PM - 11:00 PM, Wed: 5:30 PM - 11:00 PM, Thu: 5:30 PM - 11:00 PM, Fri: 5:30 PM - 12:00 AM (Next day), Sat: 11:00 AM - 4:00 PM 5:30 PM - 12:00 AM (Next day), Sun: 11:00 AM - 4:00 PM 5:30 PM - 10:00 PM",,"148 Meserole StSte 1, Brooklyn, NY 11206"
Restaurant Yuu,Greenpoint,"French, Bars",5.0,,,https://www.yelp.com/biz/restaurant-yuu-brooklyn?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=160,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=160,"Mon: Closed, Tue: 6:00 AM - 11:30 PM, Wed: 6:00 AM - 11:30 PM, Thu: 6:00 AM - 11:30 PM, Fri: 6:00 AM - 11:30 PM, Sat: 6:00 AM - 11:30 PM, Sun: Closed",,"55 Nassau Ave, Brooklyn, NY 11222"
