Opening Hours,Popular Dishes,Detailed Address
"['Mon: 11:30 AM - 10:30 PM', 'Tue: Closed', 'Wed: Closed', 'Thu: 11:30 AM - 11:30 PM', 'Fri: 11:30 AM - 11:30 PM', 'Sat: 11:30 AM - 11:30 PM', 'Sun: 11:30 AM - 10:30 PM']","['Jerk Chicken', 'Oxtail', 'Crab and Pepper Shrimp Fried Rice', 'Snapper', 'Jerk Salmon', 'Curry Shrimp']","1171 Saint Johns PlCrown Heights, NY 11213"
"['Mon: Closed', 'Tue: 8:00 AM - 3:00 PM 6:00 PM - 10:00 PM', 'Wed: 8:00 AM - 3:00 PM 6:00 PM - 10:00 PM', 'Thu: 8:00 AM - 3:00 PM 6:00 PM - 10:00 PM', 'Fri: 8:00 AM - 3:00 PM 6:00 PM - 12:00 AM (Next day)', 'Sat: 10:00 AM - 4:00 PM 6:00 PM - 12:00 AM (Next day)', 'Sun: 10:00 AM - 4:00 PM']","['Breakfast Tlayudita', 'Tetela Trio', 'Mezcal Mushroom Tlayudita', 'Tlayudas', 'Huevos En Camisa Rancheros', 'Mezcal Mushroom Tlacoyo', 'Sopes', 'Flautas', 'Chilaquiles Rojos', 'Mushroom Tlayuda', 'Breakfast Gordita', 'Mushroom Tacos']","343 Franklin AveBrooklyn, NY 11238"
"['Mon: Closed', 'Tue: Closed', 'Wed: 11:30 AM - 10:00 PM', 'Thu: 11:30 AM - 10:00 PM', 'Fri: 11:30 AM - 10:00 PM', 'Sat: 10:00 AM - 11:00 PM', 'Sun: 10:00 AM - 10:00 PM']","['Fried Chicken', 'Salmon Croquettes', 'Shrimp Po Boy', 'Candied Yams']","216 Malcolm X BlvdBrooklyn, NY 11221"
"['Mon: Closed', 'Tue: 6:00 PM - 10:00 PM', 'Wed: 6:00 PM - 10:00 PM', 'Thu: 6:00 PM - 10:00 PM', 'Fri: 6:00 PM - 10:00 PM', 'Sat: 6:00 PM - 10:00 PM', 'Sun: 6:00 PM - 10:00 PM']",[],"67 Fenimore StBrooklyn, NY 11225"
"['Mon: Closed', 'Tue: Closed', 'Wed: 4:00 PM - 12:00 AM (Next day)', 'Thu: 4:00 PM - 12:00 AM (Next day)', 'Fri: 4:00 PM - 12:00 AM (Next day)', 'Sat: 4:00 PM - 12:00 AM (Next day)', 'Sun: 4:00 PM - 12:00 AM (Next day)']",[],"108 Patchen Ave Brooklyn Ny 11221New York, NY 11221"
"['Mon: 11:30 AM - 3:30 PM 4:30 PM - 10:30 PM', 'Tue: 11:30 AM - 3:30 PM 4:30 PM - 10:30 PM', 'Wed: 11:30 AM - 3:30 PM 4:30 PM - 10:30 PM', 'Thu: 11:30 AM - 3:30 PM 4:30 PM - 10:30 PM', 'Fri: 11:30 AM - 3:30 PM 4:30 PM - 10:30 PM', 'Sat: 11:30 AM - 3:30 PM 4:30 PM - 10:30 PM', 'Sun: 11:30 AM - 3:30 PM 4:30 PM - 10:30 PM']","['Spicy Tonkotsu Ramen', 'Tonkotsu Ramen', 'Takoyaki', 'Shrimp Tempura Shoyu Ramen', 'Spicy Tan-tan Ramen', 'Chicken Miso Ramen', 'Crispy Calamari', 'Salmon Shoyu Ramen', 'Spicy Seafood Miso Ramen', 'Taco Pork Chashu', 'Yaki Kurobuta']","105 Wilson AveNew York, NY 11237"
"['Mon: 11:30 AM - 10:00 PM', 'Tue: 11:30 AM - 10:00 PM', 'Wed: 11:45 AM - 10:00 PM', 'Thu: 11:45 AM - 10:00 PM', 'Fri: Closed', 'Sat: Closed', 'Sun: 11:30 AM - 10:00 PM']","['Sabich Pita Sandwich', 'Baked Chicken', 'Moussaka', 'Homemade Shakshuka']","7 Rochester AveBrooklyn, NY 11233"
"['Mon: 8:00 AM - 5:00 PM', 'Tue: 8:00 AM - 5:00 PM', 'Wed: 8:00 AM - 5:00 PM', 'Thu: 8:00 AM - 5:00 PM', 'Fri: 8:00 AM - 5:00 PM', 'Sat: 8:00 AM - 5:00 PM', 'Sun: 8:00 AM - 5:00 PM']","['Bibimbap', 'Breakfast Wrap', 'Kimchi Fried Rice', 'Kimchi Omelet', 'BLT Breakfast Sandwich']","261 Nostrand AveBrooklyn, NY 11216"
"['Mon: 12:00 PM - 10:00 PM', 'Tue: 12:00 PM - 10:00 PM', 'Wed: 12:00 PM - 10:00 PM', 'Thu: 12:00 PM - 10:00 PM', 'Fri: 12:00 PM - 10:00 PM', 'Sat: 12:00 PM - 10:00 PM', 'Sun: 12:00 PM - 10:00 PM']","['Drunken Noodles', 'Pad Thai', 'Pad See Ew', 'Thai Chicken Wings', 'Basil Fried Rice', 'Crab Rangoon', 'Spring Rolls', 'Green Curry', 'Basil Udon Noodles', 'Crab Fried Rice', 'Pumpkin Curry', 'Shrimp Rolls', 'Duck Bun', 'Thai Fried Rice', 'Pineapple Fried Rice', 'Massaman Curry', 'Panang Curry', 'Fried Calamari', 'Mock Duck', 'Mango Salad']","545 Flatbush AveBrooklyn, NY 11225"
"['Mon: Closed', 'Tue: 4:00 PM - 12:00 AM (Next day)', 'Wed: 4:00 PM - 12:00 AM (Next day)', 'Thu: 4:00 PM - 12:00 AM (Next day)', 'Fri: 4:00 PM - 1:00 AM (Next day)', 'Sat: 11:00 AM - 12:30 AM (Next day)', 'Sun: 11:00 AM - 3:45 PM']","['Yucca Croquettes', 'French Toast', 'Grilled Hanger Steak', 'Seared Salmon', 'Chicken Liver Pate', 'Yellow Curry Mussels', 'Tamarind Calamari', 'Chicken Pot Pie', 'Huevos Rancheros', 'Beyond Burger']","327 Stuyvesant AveBrooklyn, NY 11233"
